anio,seccion,codigo_delito,delito,pregunta,modalidad_comision,estimacion,muestra,porcentaje,total_delito
2010,SECCIÓN I. TODOS LOS TIPOS DE DELITO,02,"Robo de accesorios, refacciones o herramientas de vehículo",Total por tipo de delito,Total,2369345,5642,100.0000,2369345
2010,SECCIÓN I. TODOS LOS TIPOS DE DELITO,09,Amenazas verbales,Total por tipo de delito,Total,1832944,1658,100.0000,1832944
2010,SECCIÓN I. TODOS LOS TIPOS DE DELITO,10,Lesiones por agresión física,Total por tipo de delito,Total,1182473,980,100.0000,1182473
2010,SECCIÓN I. TODOS LOS TIPOS DE DELITO,13,Violación sexual,Total por tipo de delito,Total,15610,22,100.0000,15610
2010,SECCIÓN I. TODOS LOS TIPOS DE DELITO,14,Otros delitos,Total por tipo de delito,Total,320138,356,100.0000,320138
2010,SECCIÓN II. ROBO TOTAL DE VEHÍCULO,01,Robo total de vehículo,Total por tipo de delito,Total,434786,1232,100.0000,434786
2010,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",03,Robo en casa habitación,Total por tipo de delito,Total,1601746,4067,100.0000,1601746
2010,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",04,Robo o asalto en la calle o transporte público,Total por tipo de delito,Total,5617621,4126,100.0000,5617621
2010,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",05,Robo en forma distinta a los anteriores,Total por tipo de delito,Total,1426278,1470,100.0000,1426278
2010,SECCIÓN IV. FRAUDE,06,Clonación de tarjeta o fraude bancario,Total por tipo de delito,Total,1010803,942,100.0000,1010803
2010,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Cheque falso,19787,15,1.9713,1003742
2010,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Otro,31951,23,3.1832,1003742
2010,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Pago por un servicio/producto no entregado (al consumidor),822639,810,81.9572,1003742
2010,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Por internet/correo electrónico,59425,35,5.9203,1003742
2010,SECCIÓN IV. FRAUDE,07,Fraude al consumidor,Total por tipo de delito,Total,1003742,958,100.0000,1003742
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Cobro de piso,12120,14,0.2209,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,En la calle,225693,149,4.1144,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,En negocio propio o familiar,75436,69,1.3752,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Laboral,74594,52,1.3598,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Otro,51188,68,0.9332,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Por internet/correo electrónico,81965,5,1.4942,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Telefónica,4868818,4643,88.7584,5485470
2010,SECCIÓN V. EXTORSIÓN,08,Extorsión,Total por tipo de delito,Total,5485470,5067,100.0000,5485470
2010,SECCIÓN VI. SECUESTRO PARA EXIGIR DINERO O BIENES,11,Secuestro para exigir dinero o bienes,Total por tipo de delito,Total,114500,86,100.0000,114500
2010,"SECCIÓN VII. HOSTIGAMIENTO, MANOSEO, EXHIBICIONISMO, INTENTO DE VIOLACIÓN",12,"Hostigamiento, manoseo, exhibicionismo o intento de violación",Total por tipo de delito,Total,724127,580,100.0000,724127
2011,SECCIÓN I. TODOS LOS TIPOS DE DELITO,02,"Robo de accesorios, refacciones o herramientas de vehículo",Total por tipo de delito,Total,2549418,7316,100.0000,2549418
2011,SECCIÓN I. TODOS LOS TIPOS DE DELITO,09,Amenazas verbales,Total por tipo de delito,Total,1752102,2294,100.0000,1752102
2011,SECCIÓN I. TODOS LOS TIPOS DE DELITO,10,Lesiones por agresión física,Total por tipo de delito,Total,927501,1063,100.0000,927501
2011,SECCIÓN I. TODOS LOS TIPOS DE DELITO,13,Violación sexual,Total por tipo de delito,Total,41406,74,100.0000,41406
2011,SECCIÓN I. TODOS LOS TIPOS DE DELITO,14,Otros delitos,Total por tipo de delito,Total,101658,157,100.0000,101658
2011,SECCIÓN II. ROBO TOTAL DE VEHÍCULO,01,Robo total de vehículo,Total por tipo de delito,Total,611371,1655,100.0000,611371
2011,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",03,Robo en casa habitación,Total por tipo de delito,Total,1726861,5161,100.0000,1726861
2011,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",04,Robo o asalto en la calle o transporte público,Total por tipo de delito,Total,6633702,5066,100.0000,6633702
2011,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",05,Robo en forma distinta a los anteriores,Total por tipo de delito,Total,1108614,1227,100.0000,1108614
2011,SECCIÓN IV. FRAUDE,06,Clonación de tarjeta o fraude bancario,Total por tipo de delito,Total,1102434,1407,100.0000,1102434
2011,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Cheque falso,36505,36,4.3862,832275
2011,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Otro,30225,29,3.6316,832275
2011,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Pago por un servicio/producto no entregado (al consumidor),659505,888,79.2412,832275
2011,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Por internet/correo electrónico,31878,33,3.8302,832275
2011,SECCIÓN IV. FRAUDE,07,Fraude,4.1 ¿Qué tipo de fraude fue?,Tarjeta de débito o crédito,34703,43,4.1697,832275
2011,SECCIÓN IV. FRAUDE,07,Fraude al consumidor,Total por tipo de delito,Total,832275,1107,100.0000,832275
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Cobro de piso,39888,26,0.9116,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,En la calle,212704,212,4.8611,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,En negocio propio o familiar,61423,50,1.4037,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Laboral,51196,70,1.1700,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Otro,55063,62,1.2584,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Por internet/correo electrónico,1838,5,0.0420,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,5.1 ¿La extorsión fue...?,Telefónica,3894150,4591,88.9961,4375640
2011,SECCIÓN V. EXTORSIÓN,08,Extorsión,Total por tipo de delito,Total,4375640,5095,100.0000,4375640
2011,SECCIÓN VI. SECUESTRO PARA EXIGIR DINERO O BIENES,11,Secuestro para exigir dinero o bienes,Total por tipo de delito,Total,98846,81,100.0000,98846
2011,"SECCIÓN VII. HOSTIGAMIENTO, MANOSEO, EXHIBICIONISMO, INTENTO DE VIOLACIÓN",12,"Hostigamiento, manoseo, exhibicionismo o intento de violación",Total por tipo de delito,Total,740477,790,100.0000,740477
2012,SECCIÓN I. TODOS LOS TIPOS DE DELITO,02,"Robo de accesorios, refacciones o herramientas de vehículo",Total por tipo de delito,Total,3340576,8726,100.0000,3340576
2012,SECCIÓN I. TODOS LOS TIPOS DE DELITO,03,Vandalismo,Total por tipo de delito,Total,3758143,9857,100.0000,3758143
2012,SECCIÓN I. TODOS LOS TIPOS DE DELITO,10,Amenazas,Total por tipo de delito,Total,2854710,3038,100.0000,2854710
2012,SECCIÓN I. TODOS LOS TIPOS DE DELITO,11,Lesiones por agresión física,Total por tipo de delito,Total,1087761,1012,100.0000,1087761
2012,SECCIÓN I. TODOS LOS TIPOS DE DELITO,14,Violación sexual,Total por tipo de delito,Total,89873,81,100.0000,89873
2012,SECCIÓN I. TODOS LOS TIPOS DE DELITO,15,Otros delitos,Total por tipo de delito,Total,62806,81,100.0000,62806
2012,SECCIÓN II. ROBO TOTAL DE VEHÍCULO,01,Robo total de vehículo,Total por tipo de delito,Total,622462,1588,100.0000,622462
2012,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",04,Robo en casa habitación,Total por tipo de delito,Total,2099285,6266,100.0000,2099285
2012,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",05,Robo o asalto en la calle o transporte público,Total por tipo de delito,Total,7931693,5821,100.0000,7931693
2012,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",06,Robo en forma distinta a la anterior,Total por tipo de delito,Total,396846,434,100.0000,396846
2012,SECCIÓN IV. FRAUDE,07,Fraude bancario,Total por tipo de delito,Total,1325757,1551,100.0000,1325757
2012,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Cheque falso o sin fondos,32950,47,1.2564,2622599
2012,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Dinero falso,284161,224,10.8351,2622599
2012,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Otro,169014,192,6.4445,2622599
2012,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Pago por un servicio/producto no entregado (al consumidor),1093589,1428,41.6987,2622599
2012,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Por internet/correo electrónico,55002,79,2.0972,2622599
2012,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Tarjeta de débito o crédito,914624,1200,34.8747,2622599
2012,SECCIÓN IV. FRAUDE,08,Fraude al consumidor,Total por tipo de delito,Total,1296842,1707,100.0000,1296842
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Cobro de piso,32623,30,0.5443,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,En la calle,182982,236,3.0527,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,En negocio propio o familiar,65394,94,1.0910,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Laboral,40998,46,0.6840,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Otro,48934,57,0.8164,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Por internet/correo electrónico,23379,23,0.3900,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Telefónica,5505341,5811,91.8470,5994034
2012,SECCIÓN V. EXTORSIÓN,09,Extorsión,Total por tipo de delito,Total,5994034,6388,100.0000,5994034
2012,SECCIÓN VI. SECUESTRO PARA EXIGIR DINERO O BIENES,12,Secuestro para exigir dinero o bienes,Total por tipo de delito,Total,89086,82,100.0000,89086
2012,"SECCIÓN VII. HOSTIGAMIENTO, MANOSEO, EXHIBICIONISMO, INTENTO DE VIOLACIÓN",13,Hostigamiento o intimidación sexual,Total por tipo de delito,Total,577716,485,100.0000,577716
2013,SECCIÓN I. TODOS LOS TIPOS DE DELITO,02,"Robo de accesorios, refacciones o herramientas de vehículo",Total por tipo de delito,Total,3358372,7349,100.0000,3358372
2013,SECCIÓN I. TODOS LOS TIPOS DE DELITO,03,Vandalismo,Total por tipo de delito,Total,4150876,8164,100.0000,4150876
2013,SECCIÓN I. TODOS LOS TIPOS DE DELITO,10,Amenazas,Total por tipo de delito,Total,3031965,3008,100.0000,3031965
2013,SECCIÓN I. TODOS LOS TIPOS DE DELITO,11,Lesiones por agresión física,Total por tipo de delito,Total,1038026,919,100.0000,1038026
2013,SECCIÓN I. TODOS LOS TIPOS DE DELITO,14,Violación sexual,Total por tipo de delito,Total,97662,82,100.0000,97662
2013,SECCIÓN I. TODOS LOS TIPOS DE DELITO,15,Otros delitos,Total por tipo de delito,Total,88903,120,100.0000,88903
2013,SECCIÓN II. ROBO TOTAL DE VEHÍCULO,01,Robo total de vehículo,Total por tipo de delito,Total,601157,1235,100.0000,601157
2013,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",04,Robo en casa habitación,Total por tipo de delito,Total,2141103,5804,100.0000,2141103
2013,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",05,Robo o asalto en la calle o transporte público,Total por tipo de delito,Total,9787891,5424,100.0000,9787891
2013,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",06,Robo en forma distinta a la anterior,Total por tipo de delito,Total,1213624,1455,100.0000,1213624
2013,SECCIÓN IV. FRAUDE,07,Fraude bancario,Total por tipo de delito,Total,1494570,1300,100.0000,1494570
2013,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Cheque falso o sin fondos,39658,25,1.2513,3169461
2013,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Dinero falso,216486,154,6.8304,3169461
2013,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Otro,17429,22,0.5499,3169461
2013,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Pago por un servicio/producto no entregado (al consumidor),1764217,1664,55.6630,3169461
2013,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Por internet/correo electrónico,47148,43,1.4876,3169461
2013,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Tarjeta de débito o crédito,1077199,976,33.9868,3169461
2013,SECCIÓN IV. FRAUDE,08,Fraude al consumidor,Total por tipo de delito,Total,1674891,1594,100.0000,1674891
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Cobro de piso,22140,23,0.2841,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,En la calle,171406,154,2.1992,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,En negocio propio o familiar,133761,90,1.7162,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Laboral,43416,31,0.5570,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Otro,59202,71,0.7596,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Por internet/correo electrónico,17266,17,0.2215,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Telefónica,7323178,5965,93.9587,7794040
2013,SECCIÓN V. EXTORSIÓN,09,Extorsión,Total por tipo de delito,Total,7794040,6373,100.0000,7794040
2013,SECCIÓN VI. SECUESTRO PARA EXIGIR DINERO O BIENES,12,Secuestro para exigir dinero o bienes,Total por tipo de delito,Total,85821,76,100.0000,85821
2013,"SECCIÓN VII. HOSTIGAMIENTO, MANOSEO, EXHIBICIONISMO, INTENTO DE VIOLACIÓN",13,Hostigamiento o intimidación sexual,Total por tipo de delito,Total,682238,575,100.0000,682238
2014,SECCIÓN I. TODOS LOS TIPOS DE DELITO,02,"Robo de accesorios, refacciones o herramientas de vehículo",Total por tipo de delito,Total,3408567,7685,100.0000,3408567
2014,SECCIÓN I. TODOS LOS TIPOS DE DELITO,03,Vandalismo,Total por tipo de delito,Total,3829856,8279,100.0000,3829856
2014,SECCIÓN I. TODOS LOS TIPOS DE DELITO,10,Amenazas,Total por tipo de delito,Total,3324903,3022,100.0000,3324903
2014,SECCIÓN I. TODOS LOS TIPOS DE DELITO,11,Lesiones por agresión física,Total por tipo de delito,Total,1159244,950,100.0000,1159244
2014,SECCIÓN I. TODOS LOS TIPOS DE DELITO,14,Violación sexual,Total por tipo de delito,Total,90487,67,100.0000,90487
2014,SECCIÓN I. TODOS LOS TIPOS DE DELITO,15,Otros delitos,Total por tipo de delito,Total,64576,91,100.0000,64576
2014,SECCIÓN II. ROBO TOTAL DE VEHÍCULO,01,Robo total de vehículo,Total por tipo de delito,Total,545052,1131,100.0000,545052
2014,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",04,Robo en casa habitación,Total por tipo de delito,Total,2050088,5651,100.0000,2050088
2014,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",05,Robo o asalto en la calle o transporte público,Total por tipo de delito,Total,9631471,5357,100.0000,9631471
2014,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",06,Robo en forma distinta a la anterior,Total por tipo de delito,Total,1192869,1482,100.0000,1192869
2014,SECCIÓN IV. FRAUDE,07,Fraude bancario,Total por tipo de delito,Total,1744375,1539,100.0000,1744375
2014,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Cheque falso o sin fondos,38733,17,1.1251,3442757
2014,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Dinero falso,326131,236,9.4730,3442757
2014,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Otro,33632,34,0.9769,3442757
2014,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Pago por un servicio/producto no entregado (al consumidor),1814676,1798,52.7100,3442757
2014,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Por internet/correo electrónico,49928,55,1.4502,3442757
2014,SECCIÓN IV. FRAUDE,07-08,Fraude,4.1 ¿Qué tipo de fraude fue?,Tarjeta de débito o crédito,1143511,1079,33.2150,3442757
2014,SECCIÓN IV. FRAUDE,08,Fraude al consumidor,Total por tipo de delito,Total,1698382,1699,100.0000,1698382
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Cobro de piso,31281,17,0.3925,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,En la calle,204662,192,2.5680,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,En negocio propio o familiar,55188,66,0.6925,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Laboral,34268,34,0.4300,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Otro,66733,94,0.8373,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Por internet/correo electrónico,16294,17,0.2045,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,5.1 ¿La extorsión fue...?,Telefónica,7546896,6671,94.6962,7969585
2014,SECCIÓN V. EXTORSIÓN,09,Extorsión,Total por tipo de delito,Total,7969585,7113,100.0000,7969585
2014,SECCIÓN VI. SECUESTRO PARA EXIGIR DINERO O BIENES,12,Secuestro para exigir dinero o bienes,Total por tipo de delito,Total,79263,81,100.0000,79263
2014,"SECCIÓN VII. HOSTIGAMIENTO, MANOSEO, EXHIBICIONISMO, INTENTO DE VIOLACIÓN",13,Hostigamiento o intimidación sexual,Total por tipo de delito,Total,745170,552,100.0000,745170
2015,SECCIÓN I. TODOS LOS TIPOS DE DELITO,02,"Robo de accesorios, refacciones o herramientas de vehículo",Total por tipo de delito,Total,2854511,6679,100.0000,2854511
2015,SECCIÓN I. TODOS LOS TIPOS DE DELITO,03,Vandalismo,Total por tipo de delito,Total,2737485,6443,100.0000,2737485
2015,SECCIÓN I. TODOS LOS TIPOS DE DELITO,10,Amenazas,Total por tipo de delito,Total,2340636,2531,100.0000,2340636
2015,SECCIÓN I. TODOS LOS TIPOS DE DELITO,11,Lesiones por agresión física,Total por tipo de delito,Total,1072610,1134,100.0000,1072610
2015,SECCIÓN I. TODOS LOS TIPOS DE DELITO,14,Violación sexual,Total por tipo de delito,Total,76039,92,100.0000,76039
2015,SECCIÓN I. TODOS LOS TIPOS DE DELITO,15,Otros delitos,Total por tipo de delito,Total,89008,91,100.0000,89008
2015,SECCIÓN II. ROBO TOTAL DE VEHÍCULO,01,Robo total de vehículo,Total por tipo de delito,Total,452001,965,100.0000,452001
2015,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",04,Robo en casa habitación,Total por tipo de delito,Total,2061119,5598,100.0000,2061119
2015,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",05,Robo o asalto en la calle o transporte público,Total por tipo de delito,Total,8252297,4839,100.0000,8252297
2015,"SECCIÓN III. ROBO EN CASA HABITACIÓN, ASALTO EN LA CALLE O TRANSPORTE PÚBLICO O ROBO DISTINTO DE LOS ANTERIORES",06,Robo en forma distinta a la anterior,Total por tipo de delito,Total,1088607,1202,100.0000,1088607
2015,SECCIÓN IV. FRAUDE,07,Fraude bancario,Total por tipo de delito,Total,1770824,1550,100.0000,1770824
