Anio,Delito,Modalidad,Delitos_total,Absolutos,Porcentaje
2024,Fraude,Internet/medios electrónicos,7255689,5350580,73.743238
2024,Fraude,Llamada telefónica,7255689,626605,8.636051
2024,Fraude,Contacto presencial,7255689,1285453,17.716484
2024,Fraude,Otro,7255689,56078,0.772883
2024,Extorsion,Internet/medios electrónicos,5719981,343963,6.013359
2024,Extorsion,Llamada telefónica,5719981,4895851,85.592085
2024,Extorsion,Contacto presencial,5719981,523656,9.154856
2024,Extorsion,Otro,5719981,12459,0.217815
2024,Amenazas,Internet/medios electrónicos,4485971,699379,15.590359
2024,Amenazas,Llamada telefónica,4485971,1103824,24.606133
2024,Amenazas,Contacto presencial,4485971,2757727,61.474472
2024,Amenazas,Otro,4485971,35787,0.797754
2024,Hostigamiento,Internet/medios electrónicos,2237310,59181,2.645186
2024,Hostigamiento,Llamada telefónica,2237310,21789,0.973893
2024,Hostigamiento,Contacto presencial,2237310,2173448,97.14559
2024,Hostigamiento,Otro,2237310,8646,0.386446
