Tabla de datos: ENVIPE_DELITO_MEDIO_HISTORICO,,,,
Inicio de serie: 2011,,,,
Fuente: INEGI,,,,
Actualización: Anual,,,,
,,,,
Variable,Tipo,Descripción,Fuente,Ruta temática
ANIO,Numérica,Año de la encuesta,INEGI (ENVIPE) https://www.inegi.org.mx/programas/envipe/,Programas > ENVIPE > [Año] > Microdatos > dbf
TIPO_DELITO,Categórica,Tipo de delito cometido,INEGI (ENVIPE) https://www.inegi.org.mx/programas/envipe/,Programas > ENVIPE > [Año] > Microdatos > dbf
MEDIO_COMISION,Categórica,Medio de comisión del delito,INEGI (ENVIPE) https://www.inegi.org.mx/programas/envipe/,Programas > ENVIPE > [Año] > Microdatos > dbf
ESTIMACION_POBLACIONAL,Numérica,Estimación poblacional (factor de expansión),INEGI (ENVIPE) https://www.inegi.org.mx/programas/envipe/,Programas > ENVIPE > [Año] > Microdatos > dbf
REGISTROS_MUESTRA,Numérica,Número de registros en la muestra,INEGI (ENVIPE) https://www.inegi.org.mx/programas/envipe/,Programas > ENVIPE > [Año] > Microdatos > dbf
,,,,
"Para mayor información sobre el procesamiento de datos, consulte el archivo procesar_envipe.py o visite la página oficial de ENVIPE:",,,,
https://www.inegi.org.mx/programas/envipe/,,,,
