serie_id,indicador_id,anio_referencia_inicio,anio_referencia_fin,bpcod,variable,codigo_positivo,definicion,comparabilidad,fuente_oficial
SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,2010,2010,07,BP4_1,3,Fraude por internet o correo electrónico; fraude consumidor histórico,Comparabilidad condicionada; no incluye BPCOD 06 bancario histórico,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf
SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,2011,2011,07,BP4_1,4,Fraude por internet o correo electrónico; fraude consumidor histórico,Comparabilidad condicionada; no incluye BPCOD 06 bancario histórico,https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf
SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,2012,2024,07|08,BP4_1,5,Fraude por internet o correo electrónico,Comparabilidad condicionada por cambio de clasificación BPCOD,https://www.inegi.org.mx/contenidos/programas/envipe/2013/doc/envipe13_manual_ent.pdf
SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,2010,2011,08,BP5_1,1,Extorsión telefónica,Comparable hasta 2023,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf
SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,2012,2023,09,BP5_1,1,Extorsión telefónica,Comparable hasta 2023; ruptura en 2024,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf
SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,2010,2011,08,BP5_1,3,Extorsión por internet o correo electrónico,Comparable hasta 2023,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf
SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,2012,2023,09,BP5_1,3,Extorsión por internet o correo electrónico,Comparable hasta 2023; ruptura en 2024,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf
SERIE_NUEVA_MEDIO_COMISION_2024,NUEVO_MEDIO_*_INTERNET_ELECTRONICO,2024,2024,01-15,BP1_5A_1,1,Delito realizado por internet o medios electrónicos,Nueva serie no comparable directamente,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/fd_envipe2025.pdf
SERIE_NUEVA_MEDIO_COMISION_2024,NUEVO_MEDIO_*_LLAMADA_TELEFONICA,2024,2024,01-15,BP1_5A_2,1,Delito realizado por llamada telefónica,Nueva serie no comparable directamente,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/fd_envipe2025.pdf
SERIE_NUEVA_MEDIO_COMISION_2024,NUEVO_MEDIO_*_TELECOM_UNION,2024,2024,01-15,BP1_5A_1|BP1_5A_2,OR,Delito realizado por internet/medios electrónicos o llamada; incidente único,Nueva serie no comparable directamente,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/fd_envipe2025.pdf
