Año,Total Delitos Estimados,Total Delitos Digitales (tel+internet),Internet / redes sociales,Teléfono (sin detalle),Teléfono — SMS / WhatsApp,Teléfono — llamada de voz,% Digital del Total
2011,23139583,31951,0,31951,0,0,0.1
2012,22602305,62103,30225,31878,0,0,0.3
2013,31527590,6515965,96000,914624,0,5505341,20.7
2014,37241139,8490941,90564,1077199,0,7323178,22.8
2015,37533888,8774603,84196,1143511,0,7546896,23.4
2016,32045635,7833867,67239,1089451,0,6677177,24.4
2017,33787587,8563721,89218,1304484,0,7170019,25.3
2018,36449531,8039293,136419,1763256,0,6139618,22.1
2019,35764310,7610799,282200,2093200,0,5235399,21.3
2020,32590890,6359860,267856,1988321,0,4103683,19.5
2021,29446752,6725207,246369,2249707,0,4229131,22.8
2022,30031275,7093486,226010,2435274,0,4432202,23.6
2023,28608440,6975035,275727,2441178,0,4258130,24.4
2024,33423113,7236440,378024,2663873,0,4194543,21.7
2025,35595875,5028654,1333426,3100032,47926,547270,14.1
